title,issn,cn,sponsor,compound_if,comprehensive_if,tags,category,detail_url
"城市规划学刊","1000-3363","31-1938/TU","同济大学","7.060","4.857","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOFTbGgG0vlRNcRzzYbzRb6O9-Lw4Xr_1HTfqHJFM5R_HEEVG91CSClT06bESs3dXN4S7pUIX00mDblS9jaN-SfOD7rrTvdhqbcd7GFGxAtow==&uniplatform=NZKPT&language=CHS"
"城市规划","1002-1329","11-2378/TU","中国城市规划学会","6.049","3.547","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOFTbGgG0vlRNcRzzYbzRb6O9-Lw4Xr_1HTfqHJFM5R_HEEVG91CSClT06bESs3dXMu4Lkph2xFi1zW06hU9h2r7tokiuZwpnkxO7NoeZRufg==&uniplatform=NZKPT&language=CHS"
"岩石力学与工程学报","1000-6915","42-1397/O3","中国岩石力学与工程学会","5.764","3.610","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOFTbGgG0vlRNcRzzYbzRb6O9-Lw4Xr_1HTfqHJFM5R_HEEVG91CSClT06bESs3dXONLEG2fEjk_qQPTJDcLwBDvBvBqCpbUfmT9_eAwqDbRw==&uniplatform=NZKPT&language=CHS"
"国际城市规划","1673-9493","11-5583/TU","中国城市规划设计研究院","4.526","2.378","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOFTbGgG0vlRNcRzzYbzRb6O9-Lw4Xr_1HTfqHJFM5R_HEEVG91CSClT06bESs3dXNAFx2kI7h4l1ZngIXXYjP9i7TGGEwiw4UEn45aDS5z2Q==&uniplatform=NZKPT&language=CHS"
"规划师","1006-0022","45-1210/TU","广西师范大学出版社集团有限公司","4.455","2.990","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOFTbGgG0vlRNcRzzYbzRb6O9-Lw4Xr_1HTfqHJFM5R_HEEVG91CSClT06bESs3dXNK3fAsEWNzpas1Q9_tbFtdta1XcqGgbQevZSb9m-GQMg==&uniplatform=NZKPT&language=CHS"
"建筑材料学报","1007-9629","31-1764/TU","同济大学","4.055","2.670","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOFTbGgG0vlRNcRzzYbzRb6O9-Lw4Xr_1HTfqHJFM5R_HEEVG91CSClT06bESs3dXNGzPKIA9lArwFAoFK8GJBZJF5MQEVPN0S5HPuHLoSe1Q==&uniplatform=NZKPT&language=CHS"
"岩土力学","1000-7598","42-1199/O3","中国科学院武汉岩土力学研究所","4.000","2.765","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOFTbGgG0vlRNcRzzYbzRb6O9-Lw4Xr_1HTfqHJFM5R_HEEVG91CSClT06bESs3dXOnX0lsGycFgo6Zk2d2ACHiRJdiNCvT30RySP-ZjINBkw==&uniplatform=NZKPT&language=CHS"
"岩土工程学报","1000-4548","32-1124/TU","中国水利学会;中国土木工程学会;中国力学学会;中国建筑学会;中国水利发电工程学会;中国振动工程学会","3.880","2.424","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOFTbGgG0vlRNcRzzYbzRb6O9-Lw4Xr_1HTfqHJFM5R_HEEVG91CSClT06bESs3dXPq4OUx_zHiplxbaSEy_4VP1xroJ6HwUMaRlC0Lb-p2rg==&uniplatform=NZKPT&language=CHS"
"中国园林","1000-6664","11-2165/TU","中国风景园林学会","3.769","2.177","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOFTbGgG0vlRNcRzzYbzRb6O9-Lw4Xr_1HTfqHJFM5R_HEEVG91CSClT06bESs3dXOW_G0_xWlap2tvSkru2wBAIwXM4w3Nerezzd1lpiNJoA==&uniplatform=NZKPT&language=CHS"
"工程力学","1000-4750","11-2595/O3","中国力学学会","3.603","2.211","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOFTbGgG0vlRNcRzzYbzRb6O9-Lw4Xr_1HTfqHJFM5R_HEEVG91CSClT06bESs3dXN42lOawfzAIMS2PglkD7mvb5K1Q7BHyT-h3YwSGxWcgw==&uniplatform=NZKPT&language=CHS"
