title,issn,cn,sponsor,compound_if,comprehensive_if,tags,categories,major_categories,detail_url
"“九一八”研究","","","九一八历史博物馆","","","","中国近现代史","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINc6jUHqAvn6qa1_YZ5pOjGB9NeLOP_z5roji7Gs9y47hM72q-BDh_cb9DxirXlalI4sCPHgqhYODflCP0G34hJsXBxb1L6yhGcWJ-_ut70zA==&uniplatform=NZKPT&language=CHS"
"“一带一路”法律研究","","","中国-上海合作组织国际司法交流合作培训基地;上海全球安全治理研究院全球化法律问题研究所;上海市法学会""一带一路“法律研究会","","","","法理、法史","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMqpxIAcS9qu-cDCTiv5Q_FWzCy9awoM6z-vlFSutwj9H3fat_irBT0Sdp8RrKTGjkf26GIgRQzsIIKPJJc1unswIGxSbP9UX6-OZ_ssCpRUQ==&uniplatform=NZKPT&language=CHS"
"“一带一路”与中国-东盟合作发展研究","","","广西财经学院;广西财政学会","","","","经济体制改革|贸易经济","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOGaNuRaJX9jLilY7CclCrevTHDsw3WfiLa21ZkwK0LzckCNl8J6QytA0xSwYx4O4sdaBW02DXhjt43z6NHp99jWQjfoF-MQZZSSA0M_a_E8Q==&uniplatform=NZKPT&language=CHS"
"《规划师》论丛","","","《规划师》杂志社","","","","宏观经济管理与可持续发展","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOElLR8UBqMpQdS8YrzXVKd_T0GG83qb-EugR005EE6IV9O3QMEeAMzJJIafn7g6jlf6ucEqtKw3f4MtEfo2CXW0b6vj1rouf1MeV7I5SYN_A==&uniplatform=NZKPT&language=CHS"
"《资本论》研究","","","陕西省《资本论》研究会","","","","经济理论及经济思想史","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIO3wWrpUSF943NxeDsP4rqS3DI9HEzBJTileTo-FActGqTwBx7S0F_CBZ4JCCQUQBvMIP7LNAIa9hid_vOUJbC1h59Ui-vKBrrTIZ-RC-yrtQ==&uniplatform=NZKPT&language=CHS"
"21世纪商业评论","1672-8343","44-1615/F","南方报业传媒集团","","","","贸易经济","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOj8VdNaL7Hhcc34vL32r3psE7tYzpT50sohuROsa6K7psTmIVlX2Bbc5WhVBg62CzT8KyXvEe4UVZOxyo1Z2KPG_dlfi98QaAKh196-94iaQ==&uniplatform=NZKPT&language=CHS"
"21世纪数量经济学","","","中国数量经济学会","","","","宏观经济管理与可持续发展","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIO5R7lFftcmz4sTq9QS7G_2hgjxBKYPei4AmtXpChMvX8G68N1_fSMTWGsVMajt58PjWAvgXMuY6oFG8dHTeK7iiWm03lYu19b45jpq3yUrzg==&uniplatform=NZKPT&language=CHS"
"21世纪中学生作文(初中教师适用)","1672-8327","13-1347/G4","河北教育出版社 山花文艺出版社","","","","中等教育","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMtUMFmY3vH0e7Es2YTi-fh2wpCDX4gE2aL5TRg5XmyJHITyvD7MzXzJ0ONDyY3pGQvNiHFxzMIsNPbBzUq817sDgAE2BGoh8MyOSZm0IleyQ==&uniplatform=NZKPT&language=CHS"
"21世纪中学生作文(高中教师适用)","1672-8327","13-1347/G4","河北教育出版社 山花文艺出版社","","","","中等教育","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMtUMFmY3vH0e7Es2YTi-fh2wpCDX4gE2aL5TRg5XmyJHITyvD7MzXzJ0ONDyY3pGRDKGmNiaGtGAtn0gclRV2uq5-dLFBBFFZlARGfPr110g==&uniplatform=NZKPT&language=CHS"
"阿坝师范学院学报","2096-1707","51-1767/G4","阿坝师范学院","0.362","0.135","网络首发","教育综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIO9eUeI0mSbYWuEVTsvX6e7nOQ5DUL17FlsXOuUE5YG7W5h0JdwewFuFXweRrY2_VbCjRkSg5nSxow3lK6CbGqubD_Uj9y8k_LoMNDaUtvUtw==&uniplatform=NZKPT&language=CHS"
