title,issn,cn,sponsor,compound_if,comprehensive_if,tags,major_categories,detail_url
"“九一八”研究","","","九一八历史博物馆","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOf15qLazPbMqK6QL0VwN6pxxiPtACMR2qDFLp7kfW5K9PFcXSPbjpj-kDG3WknHPNL7C6iZPVD9AUfzQtcWWSTSolTFw-FZUNz0N6GhYoERw==&uniplatform=NZKPT&language=CHS"
"“一带一路”法律研究","","","中国-上海合作组织国际司法交流合作培训基地;上海全球安全治理研究院全球化法律问题研究所;上海市法学会""一带一路“法律研究会","","","","社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINMlSHvZmlbdiGTjt6npq6pWI1lCYVrJF6Mmg-fL1OeBHA7n6mpNikNrm2E2z_e2TAostbmqAlCZYOdAONvgKRobn2HxDmJ_65MMAosp-jO0g==&uniplatform=NZKPT&language=CHS"
"“一带一路”与中国-东盟合作发展研究","","","广西财经学院;广西财政学会","","","","经济与管理科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIO77Z1GNQjDMJS-Gt9u9fW-pSyknLiRhEPTEe4b5Lgg5jEBftNjSrueCrOZHvd_Ru8bYxY0dVq8Og-IBw4KrM462cW9Smu4WKdhgHqDhAabvQ==&uniplatform=NZKPT&language=CHS"
"《规划师》论丛","","","《规划师》杂志社","","","","经济与管理科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMqJS8h7NdBLFNw_FjU6EJKwkjN2EVJJ9LJJLMYk_rSW92NaAXm9K4PICnvRsbPiDA6tTGlmpIMeiPvC-HUzNrgQq7LtDiJqWC_p1eRDICxfw==&uniplatform=NZKPT&language=CHS"
"《资本论》研究","","","陕西省《资本论》研究会","","","","经济与管理科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMIiwvKEySbFXO44zVJdHNCvqkoW-o1l790Q3_PQ7YsBPZs-C--_vhNEih08uRHRkfdC3rvvHQWkO5IWJE06pQJz0pV--1VaWZpCd0qbzqhUw==&uniplatform=NZKPT&language=CHS"
"21世纪商业评论","1672-8343","44-1615/F","","","","","经济与管理科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMk_DCUz9pWdo20yutsAZy0loOioW8gIbvgT_nznESuPBDbztvoCagJVlFkIJChSLIhcjNoypjpPCq__Or4lGblU8ClsOIWIeHRsfj-gilgCg==&uniplatform=NZKPT&language=CHS"
"21世纪数量经济学","","","中国数量经济学会","","","","经济与管理科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMk_DCUz9pWdo20yutsAZy0loOioW8gIbvgT_nznESuPBDbztvoCagJVlFkIJChSLL7YlHOQP9TGr0xlj5rSTbvPhQiV3rRRKdZpfSYTjNYrA==&uniplatform=NZKPT&language=CHS"
"21世纪中学生作文(初中教师适用)","1672-8327","13-1347/G4","","","","","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIP3_flu5fgpFkHzBJrsFnpqdPyGnsTe-iyogg-dQ3PnyIzq637injBQXUPUBnboBq3-Ln5_J0vHGD8jL98-ZS2bc1X4_XOypsXbDdmlOlUX5w==&uniplatform=NZKPT&language=CHS"
"21世纪中学生作文(高中教师适用)","1672-8327","13-1347/G4","","","","","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIP3_flu5fgpFkHzBJrsFnpqdPyGnsTe-iyogg-dQ3PnyIzq637injBQXUPUBnboBq02NUw29erAMhKF7GC1b-N7hj57D_Aa8az9AVgmxdsrEw==&uniplatform=NZKPT&language=CHS"
"阿坝师范学院学报","","","","0.362","0.135","网络首发","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPLH0AhLp9EYUuYZDyxR47JldQoptTOeWCT4N_L_CyGj0fn6xfVt96r6Q7hBNXflnI7jkP7sNCetEmmY4drhmf_JXxvWWxLekrK0_YKqF3New==&uniplatform=NZKPT&language=CHS"
