Title20,Title,Country,SCIE,SSCI,AHCI,ESCI
19 CENTURY CONTEXTS,NINETEENTH-CENTURY CONTEXTS-AN INTERDISCIPLINARY JOURNAL,ENGLAND,,,X,
20 21 REV HIST,20 ET 21-REVUE D HISTOIRE,FRANCE,,,X,
2D MATER,2D MATERIALS,ENGLAND,X,,,
3 BIOTECH,3 BIOTECH,GERMANY,X,,,
3C EMPRESA,3C EMPRESA,SPAIN,,,,X
3C TECNOL,3C TECNOLOGIA,SPAIN,,,,X
3C TIC,3C TIC,SPAIN,,,,X
3D PRINT ADDIT MANUF,3D PRINTING AND ADDITIVE MANUFACTURING,UNITED STATES,X,,,
3D PRINT MED,3D PRINTING IN MEDICINE,ENGLAND,,,,X
3L-LANG LINGUIST LIT,3L-LANGUAGE LINGUISTICS LITERATURE-THE SOUTHEAST ASIAN JOURNAL OF ENGLISH LANGUAGE STUDIES,MALAYSIA,,,,X
452 F-REV TEOR LIT L,452 F-REVISTA DE TEORIA DE LA LITERATURA Y LITERATURA COMPARADA,SPAIN,,,,X
4OR-Q J OPER RES,4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,GERMANY,X,,,
A A PRACT,A & A PRACTICE,UNITED STATES,,,,X
A C-REV DIREITO ADM,A&C-REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL,BRAZIL,,,,X
AAA-ARB ANGLIST AM,AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,GERMANY,,,X,
AACE CLIN CASE REP,AACE CLINICAL CASE REPORTS,UNITED STATES,,,,X
AACN ADV CRIT CARE,AACN ADVANCED CRITICAL CARE,UNITED STATES,,,,X
AAPG BULL,AAPG BULLETIN,UNITED STATES,X,,,
AAPPS B,AAPPS BULLETIN,SOUTH KOREA,,,,X
AAPS J,AAPS JOURNAL,UNITED STATES,X,,,
AAPS PHARMSCITECH,AAPS PHARMSCITECH,UNITED STATES,X,,,
AATCC J RES,AATCC JOURNAL OF RESEARCH,UNITED STATES,X,,,
AATCC REV,AATCC REVIEW,UNITED STATES,X,,,
AB IMP,AB IMPERIO-STUDIES OF NEW IMPERIAL HISTORY AND NATIONALISM IN THE POST-SOVIET SPACE,UNITED STATES,,,X,
ABACUS,ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES,AUSTRALIA,,X,,
ABAKOS,ABAKOS,BRAZIL,,,,X
ABANICO VET,ABANICO VETERINARIO,MEXICO,,,,X
ABCD-ARQ BRAS CIR DI,ABCD-ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA-BRAZILIAN ARCHIVES OF DIGESTIVE SURGERY,BRAZIL,,,,X
ABDOM RADIOL,ABDOMINAL RADIOLOGY,UNITED STATES,X,,,
ABE J,ABE JOURNAL,FRANCE,,,,X
ABH MATH SEM HAMBURG,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,GERMANY,X,,,
ABIOTECH,ABIOTECH,PEOPLES R CHINA,,,,X
ABORIG HIST,ABORIGINAL HISTORY,AUSTRALIA,,,,X
ABORIG POLICY STUD,ABORIGINAL POLICY STUDIES,CANADA,,,,X
ABRIU-ESTUD TEXTUAL,ABRIU-ESTUDOS DE TEXTUALIDADE DO BRASIL GALICIA E PORTUGAL,SPAIN,,,,X
ACAD EMERG MED,ACADEMIC EMERGENCY MEDICINE,UNITED STATES,X,,,
ACAD J MOD PHILOL,ACADEMIC JOURNAL OF MODERN PHILOLOGY,POLAND,,,,X
ACAD MANAG ANN,ACADEMY OF MANAGEMENT ANNALS,UNITED STATES,,X,,
ACAD MANAG DISCOV,ACADEMY OF MANAGEMENT DISCOVERIES,UNITED STATES,,X,,
ACAD MANAG LEARN EDU,ACADEMY OF MANAGEMENT LEARNING & EDUCATION,UNITED STATES,,X,,
ACAD MANAGE J,ACADEMY OF MANAGEMENT JOURNAL,UNITED STATES,,X,,
ACAD MANAGE PERSPECT,ACADEMY OF MANAGEMENT PERSPECTIVES,UNITED STATES,,X,,
ACAD MANAGE REV,ACADEMY OF MANAGEMENT REVIEW,UNITED STATES,,X,,
ACAD MED,ACADEMIC MEDICINE,UNITED STATES,X,,,
ACAD PATHOL,ACADEMIC PATHOLOGY,UNITED STATES,,,,X
ACAD PEDIATR,ACADEMIC PEDIATRICS,UNITED STATES,X,,,
ACAD PSYCHIATR,ACADEMIC PSYCHIATRY,UNITED STATES,,X,,
ACAD RADIOL,ACADEMIC RADIOLOGY,UNITED STATES,X,,,
ACAD REV,ACADEMY REVIEW,UKRAINE,,,,X
ACAD VIRTUALIDAD,ACADEMIA Y VIRTUALIDAD,COLOMBIA,,,,X
ACADIENSIS,ACADIENSIS,CANADA,,,X,
ACAD-REV LATINOAM AD,ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,COLOMBIA,,X,,
ACAROLOGIA,ACAROLOGIA,FRANCE,X,,,
ACCESS JUSTICE E EUR,ACCESS TO JUSTICE IN EASTERN EUROPE,UKRAINE,,,,X
ACCESS-ACCESS SCI BU,ACCESS-ACCESS TO SCIENCE BUSINESS INNOVATION IN THE DIGITAL ECONOMY,BULGARIA,,,,X
ACCIDENT ANAL PREV,ACCIDENT ANALYSIS AND PREVENTION,ENGLAND,,X,,
ACCION PSICOL,ACCION PSICOLOGICA,SPAIN,,,,X
ACCIONES INVEST SOC,ACCIONES E INVESTIGACIONES SOCIALES,SPAIN,,,,X
ACCOUNT AUDIT ACCOUN,ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL,ENGLAND,,X,,
ACCOUNT BUS RES,ACCOUNTING AND BUSINESS RESEARCH,ENGLAND,,X,,
