title,issn,cn,sponsor,compound_if,comprehensive_if,tags,major_categories,detail_url
"“九一八”研究","","","九一八历史博物馆","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIN1s1iYdeqvffrwLGJyw4zcG5P67IacCLSr5LhXL_8Tr6Jlmo5ld-X0RqBlFmVn-dd-q2XhYn2VQtZZkttQqsTE-oxlRw9YuHvjL01XP5pB3w==&uniplatform=NZKPT&language=CHS"
"“一带一路”法律研究","","","中国-上海合作组织国际司法交流合作培训基地;上海全球安全治理研究院全球化法律问题研究所;上海市法学会""一带一路“法律研究会","","","","社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINkGrjxdre5qeZ5D8CB5G5Ai8FcGRFXwhmOAvkIbUQz5cTyC06Yc8CYYrDDj31r9Af3RmofqAlgA17FtSKOyEJYKMDKrEtuV_p48ScuEDeE6Q==&uniplatform=NZKPT&language=CHS"
"“一带一路”与中国-东盟合作发展研究","","","广西财经学院;广西财政学会","","","","经济与管理科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIN6vvm6wB_p-aREYq5_qa9MsTZyBAxMV_aROruqCMiUN8wZ2m2fY5Byu7oFcXJ7JRjnPP8wKy7iwiws_DQnnuqng2qWVVLasirEAyL9OhS30A==&uniplatform=NZKPT&language=CHS"
"《规划师》论丛","","","《规划师》杂志社","","","","经济与管理科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPqrSdhF3rMZ_hCkdTszOFMHBK-5QNl9QABN5raL49SSmWITmojxrEoD5KiAkk_vOvlGnS8dR3eXWbK5kLMUOS0PmfxEl6dQRlRIoEBSMMgyQ==&uniplatform=NZKPT&language=CHS"
"《资本论》研究","","","陕西省《资本论》研究会","","","","经济与管理科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMksUpO-jUte12l-NiN1bCSxvkI-DaMEyRh0BfG_JAs43qlRnjxlwJ0Dqp6Wb_otklmyn-Dbt52ZVT5Tem3KQqAIokpa1ApwCM4kEEpJywH_Q==&uniplatform=NZKPT&language=CHS"
"21世纪商业评论","1672-8343","44-1615/F","南方报业传媒集团","","","","社会科学II|经济与管理科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPfKMZkaxMEsjCu5xnzqxUzL79Us7vdQNI3-f2Bfsx3Yn8UKvyrA58guVAIK1z9JqUXOXRvAelLOdyT61yXq_HzyI1pBKCxlgZ1qhov01eyFw==&uniplatform=NZKPT&language=CHS"
"21世纪数量经济学","","","中国数量经济学会","","","","社会科学II|经济与管理科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPfKMZkaxMEsjCu5xnzqxUzL79Us7vdQNI3-f2Bfsx3Yn8UKvyrA58guVAIK1z9JqVb6Va4E8qXC0hRpO7U3HUMzPUni-aFAbk94H5yw6iSuA==&uniplatform=NZKPT&language=CHS"
"21世纪中学生作文(初中教师适用)","1672-8327","13-1347/G4","河北教育出版社 山花文艺出版社","","","","医药卫生科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM5JRmRrYNTnUzTzoe3p-XrzeqNiY2pXwAQGGiplp5ibfi9iIoWDX1_g8lWbaZK8jaX3VRy2TURiKLZuKZy-RwepkYh5yKeLeA9cTgbDjXVew==&uniplatform=NZKPT&language=CHS"
"21世纪中学生作文(高中教师适用)","1672-8327","13-1347/G4","河北教育出版社 山花文艺出版社","","","","医药卫生科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM5JRmRrYNTnUzTzoe3p-XrzeqNiY2pXwAQGGiplp5ibfi9iIoWDX1_g8lWbaZK8jZ-IC3mU2pbauK1I0YAlzUHafD599RdaDl6OzBObMP8pA==&uniplatform=NZKPT&language=CHS"
"阿坝师范学院学报","2096-1707","51-1767/G4","阿坝师范学院","0.362","0.135","网络首发","医药卫生科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIN0NL54dWu6XmUqjSTdzj--7RLDQCa-R6JyI0tFYi5v2Fm1MOO9lpA1Ffzh5dnQqjR3OPh9qoj_DExmYTU3kDTII7hoiryY506rMoDJLoav3w==&uniplatform=NZKPT&language=CHS"
