title,issn,eissn,year,jif,jif_without_self_cites,source_url
ACAD MANAG ANN,1941-6520,1941-6067,2024,16.5,15.8,https://journalsimpactfactors.com/journal.php?id=223
ACAD MANAGE REV,0363-7425,1930-3807,2024,13.9,13.2,https://journalsimpactfactors.com/journal.php?id=303
ACCOUNTS CHEM RES,0001-4842,1520-4898,2024,17.7,17.6,https://journalsimpactfactors.com/journal.php?id=196
ACM COMPUT SURV,0360-0300,1557-7341,2024,28.0,27.6,https://journalsimpactfactors.com/journal.php?id=86
ACS CATAL,2155-5435,2155-5435,2024,13.1,12.4,https://journalsimpactfactors.com/journal.php?id=345
ACS ENERGY LETT,2380-8195,2380-8195,2024,18.2,17.4,https://journalsimpactfactors.com/journal.php?id=187
ACS NANO,1936-0851,1936-086X,2024,16.0,15.3,https://journalsimpactfactors.com/journal.php?id=238
ACTA NUMER,0962-4929,1474-0508,2024,11.3,11.3,https://journalsimpactfactors.com/journal.php?id=456
ACTA PHARM SIN B,2211-3835,2211-3843,2024,14.6,13.8,https://journalsimpactfactors.com/journal.php?id=278
ACTA PHYS-CHIM SIN,1000-6818,,2024,13.5,12.2,https://journalsimpactfactors.com/journal.php?id=324
ADDIT MANUF,2214-8604,2214-7810,2024,11.1,10.1,https://journalsimpactfactors.com/journal.php?id=473
ADV APPL ENERGY,2666-7924,2666-7924,2024,13.8,12.9,https://journalsimpactfactors.com/journal.php?id=307
ADV COLLOID INTERFAC,0001-8686,1873-3727,2024,19.3,18.9,https://journalsimpactfactors.com/journal.php?id=172
ADV COMPOS HYBRID MA,2522-0128,2522-0136,2024,21.8,20.2,https://journalsimpactfactors.com/journal.php?id=137
ADV DRUG DELIVER REV,0169-409X,1872-8294,2024,17.6,17.1,https://journalsimpactfactors.com/journal.php?id=198
ADV ENERGY MATER,1614-6832,1614-6840,2024,26.0,24.9,https://journalsimpactfactors.com/journal.php?id=103
ADV FIBER MATER,2524-7921,2524-793X,2024,21.3,20.1,https://journalsimpactfactors.com/journal.php?id=141
ADV FUNCT MATER,1616-301X,1616-3028,2024,19.0,17.7,https://journalsimpactfactors.com/journal.php?id=178
ADV IND ENG POLY RES,2542-5048,2542-5048,2024,12.0,11.8,https://journalsimpactfactors.com/journal.php?id=402
ADV MATER,0935-9648,1521-4095,2024,26.8,25.4,https://journalsimpactfactors.com/journal.php?id=94
ADV METH PRACT PSYCH,2515-2459,2515-2467,2024,13.4,13.1,https://journalsimpactfactors.com/journal.php?id=325
ADV OPT PHOTONICS,1943-8206,,2024,23.8,23.6,https://journalsimpactfactors.com/journal.php?id=121
ADV PHYS,0001-8732,1460-6976,2024,13.8,13.8,https://journalsimpactfactors.com/journal.php?id=310
AGEING RES REV,1568-1637,1872-9649,2024,12.4,12.0,https://journalsimpactfactors.com/journal.php?id=383
ALLERGY,0105-4538,1398-9995,2024,12.0,10.7,https://journalsimpactfactors.com/journal.php?id=400
ALZHEIMERS DEMENT,1552-5260,1552-5279,2024,11.1,10.0,https://journalsimpactfactors.com/journal.php?id=470
AM ECON REV,0002-8282,1944-7981,2024,11.6,11.4,https://journalsimpactfactors.com/journal.php?id=429
AM J BIOETHICS,1526-5161,1536-0075,2024,20.8,13.7,https://journalsimpactfactors.com/journal.php?id=148
AM J PSYCHIAT,0002-953X,1535-7228,2024,14.7,14.3,https://journalsimpactfactors.com/journal.php?id=275
AM J RESP CRIT CARE,1073-449X,1535-4970,2024,19.4,17.8,https://journalsimpactfactors.com/journal.php?id=170
ANAL METHODS ACCID R,2213-6657,2213-6665,2024,12.6,10.0,https://journalsimpactfactors.com/journal.php?id=367
