title,url,issn,eissn,publisher,language,country,oa_type,positioning,partition,source,source_url,page,fetched_at
ADDICTION SCIENCE & CLINICAL PRACTICE,https://www.oaj.com.cn/Journal/addiction-science-clinical-practice,,1940-0640,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,1,2026-05-21T07:21:51+00:00
ACTA VETERINARIA SCANDINAVICA,https://www.oaj.com.cn/Journal/acta-veterinaria-scandinavica,,1751-0147,BioMed Central,Multi-Language,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,1,2026-05-21T07:21:51+00:00
ACTA NEUROPATHOLOGICA COMMUNICATIONS,https://www.oaj.com.cn/Journal/acta-neuropathologica-communications,,2051-5960,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,1,2026-05-21T07:21:51+00:00
ACS CENTRAL SCIENCE,https://www.oaj.com.cn/Journal/acs-central-science,2374-7943,2374-7951,American Chemical Society,English,USA,Diamond/Platinum OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,1,2026-05-21T07:21:51+00:00
ACS OMEGA,https://www.oaj.com.cn/Journal/acs-omega,,2470-1343,American Chemical Society,English,USA,Gold OA,Sound Science Journal,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,1,2026-05-21T07:21:51+00:00
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,https://www.oaj.com.cn/Journal/acta-obstetricia-et-gynecologica-scandinavica,0001-6349,1600-0412,Wiley,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,1,2026-05-21T07:21:51+00:00
《先进膜（英文）》,https://www.oaj.com.cn/Journal/%E5%85%88%E8%BF%9B%E8%86%9C-%E8%8B%B1%E6%96%87,,2772-8234,"KeAi Communications Co., Ltd.",English,China,金色OA,Frontier Science Journal,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,1,2026-05-21T07:21:51+00:00
《消化病学（英文）》（英文名：《eGastroenterology》）,https://www.oaj.com.cn/Journal/%E6%B6%88%E5%8C%96%E7%97%85%E5%AD%A6-%E8%8B%B1%E6%96%87-%E8%8B%B1%E6%96%87%E5%90%8D-egastroenterology,2766-0125,2976-7296,BMJ Publishing Group Ltd,English,United Kingdom,金色OA,Frontier Science Journal,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,1,2026-05-21T07:21:51+00:00
《断块油气田》,https://www.oaj.com.cn/Journal/%E6%96%AD%E5%9D%97%E6%B2%B9%E6%B0%94%E7%94%B0,1005-8907,,《断块油气田》编辑部,中文,China,钻石OA,Frontier Science Journal,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,1,2026-05-21T07:21:51+00:00
《生物医学转化》,https://www.oaj.com.cn/Journal/%E7%94%9F%E7%89%A9%E5%8C%BB%E5%AD%A6%E8%BD%AC%E5%8C%96,2096-8965,,兰州大学出版社有限责任公司,中文,China,钻石OA,Frontier Science Journal,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,1,2026-05-21T07:21:51+00:00
